checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target
<0 DM,12,simdiye odendi,araba(yeni),759,<100 DM,4-7 yil,4,A93,A101,2,A121,26,A143,kendi evi,1,vasifli,1,A191,A201,1
hesap yok,36,simdiye odendi,araba(eski),4686,<100 DM,1-4 yil,2,A93,A101,2,A124,32,A143,ucretsiz,1,yonetici/uzman,1,A192,A201,0
>=200 DM,15,simdiye odendi,is,2687,<100 DM,4-7 yil,2,A93,A101,4,A122,26,A143,kira,1,vasifli,1,A192,A201,0
0-200 DM,12,gecmiste gecikme,radyo/TV,585,<100 DM,1-4 yil,4,A94,A102,4,A121,20,A143,kira,2,vasifli,1,A191,A201,0
hesap yok,24,simdiye odendi,araba(yeni),2255,bilinmiyor,<1 yil,4,A93,A101,1,A122,54,A143,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,6,kritik hesap,araba(yeni),609,<100 DM,4-7 yil,4,A92,A101,3,A122,37,A143,kendi evi,2,vasifli,1,A191,A202,0
<0 DM,6,kritik hesap,araba(yeni),1361,<100 DM,<1 yil,2,A93,A101,4,A121,40,A143,kendi evi,1,vasifsiz-yerlesik,2,A191,A202,0
hesap yok,36,kritik hesap,mobilya,7127,<100 DM,<1 yil,2,A92,A101,4,A122,23,A143,kira,2,vasifli,1,A192,A201,1
<0 DM,6,simdiye odendi,araba(yeni),1203,100-500 DM,>=7 yil,3,A93,A101,2,A122,43,A143,kendi evi,1,vasifli,1,A192,A201,0
hesap yok,6,kritik hesap,radyo/TV,700,bilinmiyor,>=7 yil,4,A93,A101,4,A124,36,A143,ucretsiz,2,vasifli,1,A191,A201,0
hesap yok,24,kritik hesap,tamirat,5507,<100 DM,>=7 yil,3,A93,A101,4,A124,44,A143,ucretsiz,2,vasifli,1,A191,A201,0
<0 DM,18,simdiye odendi,radyo/TV,3190,<100 DM,1-4 yil,2,A92,A101,2,A121,24,A143,kendi evi,1,vasifli,1,A191,A201,1
<0 DM,48,kredi yok/hepsi odendi,mobilya,7119,<100 DM,1-4 yil,3,A93,A101,4,A124,53,A143,ucretsiz,2,vasifli,2,A191,A201,1
hesap yok,24,simdiye odendi,araba(eski),3488,100-500 DM,4-7 yil,3,A92,A101,4,A123,23,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,18,simdiye odendi,radyo/TV,1113,<100 DM,1-4 yil,4,A92,A103,4,A121,26,A143,kendi evi,1,vasifsiz-yerlesik,2,A191,A201,0
0-200 DM,26,simdiye odendi,araba(eski),7966,<100 DM,<1 yil,2,A93,A101,3,A123,30,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,15,kritik hesap,egitim,1532,100-500 DM,1-4 yil,4,A92,A101,3,A123,31,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,4,kritik hesap,radyo/TV,1503,<100 DM,4-7 yil,2,A93,A101,1,A121,42,A143,kendi evi,2,vasifsiz-yerlesik,2,A191,A201,0
<0 DM,36,simdiye odendi,radyo/TV,2302,<100 DM,1-4 yil,4,A91,A101,4,A123,31,A143,kira,1,vasifli,1,A191,A201,1
<0 DM,6,simdiye odendi,araba(yeni),662,<100 DM,<1 yil,3,A93,A101,4,A121,41,A143,kendi evi,1,vasifsiz-yerlesik,2,A192,A201,0
0-200 DM,36,simdiye odendi,egitim,2273,<100 DM,4-7 yil,3,A93,A101,1,A123,32,A143,kendi evi,2,vasifli,2,A191,A201,0
0-200 DM,15,simdiye odendi,araba(yeni),2631,100-500 DM,1-4 yil,2,A92,A101,4,A123,28,A143,kira,2,vasifli,1,A192,A201,1
hesap yok,12,gecmiste gecikme,araba(eski),1503,<100 DM,1-4 yil,4,A94,A101,4,A121,41,A143,kira,1,vasifli,1,A191,A201,0
hesap yok,24,simdiye odendi,radyo/TV,1311,100-500 DM,4-7 yil,4,A94,A101,3,A122,26,A143,kendi evi,1,vasifli,1,A192,A201,0
hesap yok,24,simdiye odendi,radyo/TV,3105,bilinmiyor,<1 yil,4,A93,A101,2,A123,25,A143,kendi evi,2,vasifli,1,A191,A201,0
>=200 DM,21,kritik hesap,egitim,2319,<100 DM,<1 yil,2,A91,A101,1,A123,33,A143,kira,1,vasifli,1,A191,A201,1
<0 DM,6,simdiye odendi,araba(yeni),1374,bilinmiyor,issiz,4,A92,A101,3,A122,75,A143,kendi evi,1,yonetici/uzman,1,A192,A201,0
0-200 DM,18,kritik hesap,mobilya,3612,<100 DM,>=7 yil,3,A92,A101,4,A122,37,A143,kendi evi,1,vasifli,1,A192,A201,0
<0 DM,48,simdiye odendi,araba(yeni),7763,<100 DM,>=7 yil,4,A93,A101,4,A124,42,A141,ucretsiz,1,yonetici/uzman,1,A191,A201,1
>=200 DM,18,simdiye odendi,mobilya,3049,<100 DM,<1 yil,1,A92,A101,1,A122,45,A142,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,12,simdiye odendi,radyo/TV,1534,<100 DM,<1 yil,1,A94,A101,1,A121,23,A143,kira,1,vasifli,1,A191,A201,1
hesap yok,24,gecmiste gecikme,araba(yeni),2032,<100 DM,>=7 yil,4,A93,A101,4,A124,60,A143,ucretsiz,2,vasifli,1,A192,A201,0
<0 DM,30,simdiye odendi,mobilya,6350,bilinmiyor,>=7 yil,4,A93,A101,4,A122,31,A143,kendi evi,1,vasifli,1,A191,A201,1
>=200 DM,18,simdiye odendi,mobilya,2864,<100 DM,1-4 yil,2,A93,A101,1,A121,34,A143,kendi evi,1,vasifsiz-yerlesik,2,A191,A201,1
hesap yok,12,kritik hesap,araba(yeni),1255,<100 DM,>=7 yil,4,A93,A101,4,A121,61,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,0
<0 DM,24,gecmiste gecikme,araba(yeni),1333,<100 DM,issiz,4,A93,A101,2,A121,43,A143,ucretsiz,2,vasifli,2,A191,A201,1
hesap yok,24,kritik hesap,araba(yeni),2022,<100 DM,1-4 yil,4,A92,A101,4,A123,37,A143,kendi evi,1,vasifli,1,A192,A201,0
hesap yok,24,simdiye odendi,radyo/TV,1552,<100 DM,4-7 yil,3,A93,A101,1,A123,32,A141,kendi evi,1,vasifli,2,A191,A201,0
<0 DM,12,bu bankada odendi,radyo/TV,626,<100 DM,1-4 yil,4,A92,A101,4,A121,24,A141,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,1
hesap yok,48,kritik hesap,araba(eski),8858,bilinmiyor,4-7 yil,2,A93,A101,1,A124,35,A143,ucretsiz,2,vasifli,1,A192,A201,0
hesap yok,12,kritik hesap,tamirat,996,bilinmiyor,4-7 yil,4,A92,A101,4,A121,23,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,6,bu bankada odendi,radyo/TV,1750,500-1000 DM,>=7 yil,2,A93,A101,4,A122,45,A141,kendi evi,1,vasifsiz-yerlesik,2,A191,A201,0
<0 DM,48,simdiye odendi,radyo/TV,6999,<100 DM,4-7 yil,1,A94,A103,1,A121,34,A143,kendi evi,2,vasifli,1,A192,A201,1
0-200 DM,12,kritik hesap,araba(yeni),1995,100-500 DM,<1 yil,4,A93,A101,1,A123,27,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,9,simdiye odendi,egitim,1199,<100 DM,4-7 yil,4,A92,A101,4,A122,67,A143,kendi evi,2,yonetici/uzman,1,A192,A201,0
0-200 DM,12,simdiye odendi,radyo/TV,1331,<100 DM,<1 yil,2,A93,A101,1,A123,22,A142,kendi evi,1,vasifli,1,A191,A201,1
0-200 DM,18,kredi yok/hepsi odendi,araba(yeni),2278,100-500 DM,<1 yil,3,A92,A101,3,A123,28,A143,kendi evi,2,vasifli,1,A191,A201,1
hesap yok,21,kredi yok/hepsi odendi,araba(yeni),5003,bilinmiyor,1-4 yil,1,A92,A101,4,A122,29,A141,kendi evi,2,vasifli,1,A192,A201,1
<0 DM,24,bu bankada odendi,mobilya,3552,<100 DM,4-7 yil,3,A93,A101,4,A123,27,A141,kendi evi,1,vasifli,1,A191,A201,1
0-200 DM,18,kritik hesap,mobilya,1928,<100 DM,<1 yil,2,A93,A101,2,A121,31,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,1
<0 DM,24,simdiye odendi,araba(eski),2964,bilinmiyor,>=7 yil,4,A93,A101,4,A124,49,A141,ucretsiz,1,vasifli,2,A192,A201,0
<0 DM,24,bu bankada odendi,radyo/TV,1546,<100 DM,4-7 yil,4,A93,A103,4,A123,24,A141,kira,1,vasifsiz-yerlesik,1,A191,A201,1
>=200 DM,6,gecmiste gecikme,radyo/TV,683,<100 DM,<1 yil,2,A92,A101,1,A122,29,A141,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,36,simdiye odendi,araba(yeni),12389,bilinmiyor,1-4 yil,1,A93,A101,4,A124,37,A143,ucretsiz,1,vasifli,1,A192,A201,1
0-200 DM,24,gecmiste gecikme,is,4712,bilinmiyor,1-4 yil,4,A93,A101,2,A122,37,A141,kendi evi,2,yonetici/uzman,1,A192,A201,0
0-200 DM,24,gecmiste gecikme,radyo/TV,1553,100-500 DM,4-7 yil,3,A92,A101,2,A122,23,A143,kira,2,vasifli,1,A192,A201,0
<0 DM,12,simdiye odendi,araba(yeni),1372,<100 DM,4-7 yil,2,A91,A101,3,A123,36,A143,kendi evi,1,vasifli,1,A191,A201,1
hesap yok,24,kritik hesap,radyo/TV,2578,>=1000 DM,>=7 yil,2,A93,A101,2,A123,34,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,48,simdiye odendi,radyo/TV,3979,bilinmiyor,4-7 yil,4,A93,A101,1,A123,41,A143,kendi evi,2,vasifli,2,A192,A201,0
<0 DM,48,simdiye odendi,radyo/TV,6758,<100 DM,1-4 yil,3,A92,A101,2,A123,31,A143,kendi evi,1,vasifli,1,A192,A201,1
<0 DM,24,simdiye odendi,mobilya,3234,<100 DM,<1 yil,4,A92,A101,4,A121,23,A143,kira,1,vasifsiz-yerlesik,1,A192,A201,1
hesap yok,30,kritik hesap,radyo/TV,5954,<100 DM,4-7 yil,3,A93,A102,2,A123,38,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,24,simdiye odendi,araba(eski),5433,bilinmiyor,issiz,2,A92,A101,4,A122,26,A143,kira,1,yonetici/uzman,1,A192,A201,0
<0 DM,15,simdiye odendi,is,806,<100 DM,1-4 yil,4,A92,A101,4,A122,22,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,9,simdiye odendi,radyo/TV,1082,<100 DM,>=7 yil,4,A93,A101,4,A123,27,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,15,kritik hesap,mobilya,2788,<100 DM,4-7 yil,2,A92,A102,3,A123,24,A141,kendi evi,2,vasifli,1,A191,A201,0
0-200 DM,12,simdiye odendi,radyo/TV,2930,<100 DM,4-7 yil,2,A92,A101,1,A121,27,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,24,kritik hesap,egitim,1927,bilinmiyor,1-4 yil,3,A92,A101,2,A123,33,A143,kendi evi,2,vasifli,1,A192,A201,0
0-200 DM,36,kritik hesap,araba(yeni),2820,<100 DM,<1 yil,4,A91,A101,4,A123,27,A143,kendi evi,2,vasifli,1,A191,A201,1
hesap yok,24,simdiye odendi,yeniden egitim,937,<100 DM,<1 yil,4,A94,A101,3,A123,27,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,18,kritik hesap,araba(yeni),1056,<100 DM,>=7 yil,3,A93,A103,3,A121,30,A141,kendi evi,2,vasifli,1,A191,A201,1
0-200 DM,12,kritik hesap,araba(yeni),3124,<100 DM,<1 yil,1,A93,A101,3,A121,49,A141,kendi evi,2,vasifsiz-yerlesik,2,A191,A201,0
hesap yok,9,simdiye odendi,mobilya,1388,<100 DM,1-4 yil,4,A92,A101,2,A121,26,A143,kira,1,vasifli,1,A191,A201,0
0-200 DM,36,simdiye odendi,tamirat,2384,<100 DM,<1 yil,4,A93,A101,1,A124,33,A143,kira,1,vasifsiz-yerlesik,1,A191,A201,1
hesap yok,12,simdiye odendi,araba(yeni),2133,bilinmiyor,>=7 yil,4,A92,A101,4,A124,52,A143,ucretsiz,1,yonetici/uzman,1,A192,A201,0
<0 DM,18,simdiye odendi,mobilya,2039,<100 DM,1-4 yil,1,A92,A101,4,A121,20,A141,kira,1,vasifli,1,A191,A201,1
<0 DM,9,kritik hesap,araba(yeni),2799,<100 DM,1-4 yil,2,A93,A101,2,A121,36,A143,kira,2,vasifli,2,A191,A201,0
<0 DM,12,simdiye odendi,mobilya,1289,<100 DM,1-4 yil,4,A93,A103,1,A122,21,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
<0 DM,18,simdiye odendi,ev aleti,1217,<100 DM,1-4 yil,4,A94,A101,3,A121,47,A143,kendi evi,1,vasifsiz-yerlesik,1,A192,A201,1
<0 DM,12,kritik hesap,mobilya,2246,<100 DM,>=7 yil,3,A93,A101,3,A122,60,A143,kendi evi,2,vasifli,1,A191,A201,1
<0 DM,12,kritik hesap,radyo/TV,385,<100 DM,4-7 yil,4,A92,A101,3,A121,58,A143,kendi evi,4,vasifsiz-yerlesik,1,A192,A201,0
0-200 DM,24,gecmiste gecikme,araba(yeni),1965,bilinmiyor,1-4 yil,4,A92,A101,4,A123,42,A143,kira,2,vasifli,1,A192,A201,0
hesap yok,21,simdiye odendi,is,1572,>=1000 DM,>=7 yil,4,A92,A101,4,A121,36,A141,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,24,simdiye odendi,araba(yeni),2718,<100 DM,1-4 yil,3,A92,A101,4,A122,20,A143,kira,1,vasifsiz-yerlesik,1,A192,A201,1
<0 DM,24,bu bankada odendi,diger,1358,bilinmiyor,>=7 yil,4,A93,A101,3,A123,40,A142,kendi evi,1,yonetici/uzman,1,A192,A201,1
0-200 DM,6,bu bankada odendi,araba(yeni),931,100-500 DM,<1 yil,1,A92,A101,1,A122,32,A142,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,1
<0 DM,24,simdiye odendi,araba(yeni),1442,<100 DM,4-7 yil,4,A92,A101,4,A123,23,A143,kira,2,vasifli,1,A191,A201,1
0-200 DM,24,kredi yok/hepsi odendi,is,4241,<100 DM,1-4 yil,1,A93,A101,4,A121,36,A143,kendi evi,3,vasifsiz-yerlesik,1,A192,A201,1
hesap yok,18,kritik hesap,araba(yeni),2775,<100 DM,4-7 yil,2,A93,A101,2,A122,31,A141,kendi evi,2,vasifli,1,A191,A201,1
hesap yok,24,gecmiste gecikme,is,3863,<100 DM,1-4 yil,1,A93,A101,2,A124,32,A143,ucretsiz,1,vasifli,1,A191,A201,0
0-200 DM,7,simdiye odendi,radyo/TV,2329,<100 DM,<1 yil,1,A92,A103,1,A121,45,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,9,simdiye odendi,mobilya,918,<100 DM,1-4 yil,4,A92,A101,1,A122,30,A143,kendi evi,1,vasifli,1,A191,A201,1
0-200 DM,24,bu bankada odendi,egitim,1837,<100 DM,4-7 yil,4,A92,A101,4,A124,34,A141,ucretsiz,1,vasifsiz-yerlesik,1,A191,A201,1
hesap yok,36,simdiye odendi,mobilya,3349,<100 DM,1-4 yil,4,A92,A101,2,A123,28,A143,kendi evi,1,yonetici/uzman,1,A192,A201,1
>=200 DM,10,simdiye odendi,mobilya,1275,<100 DM,<1 yil,4,A92,A101,2,A122,23,A143,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,24,bu bankada odendi,mobilya,2828,500-1000 DM,1-4 yil,4,A93,A101,4,A121,22,A142,kendi evi,1,vasifli,1,A192,A201,0
hesap yok,24,kritik hesap,is,4526,<100 DM,1-4 yil,3,A93,A101,2,A121,74,A143,kendi evi,1,yonetici/uzman,1,A192,A201,0
0-200 DM,36,simdiye odendi,radyo/TV,2671,100-500 DM,1-4 yil,4,A92,A102,4,A124,50,A143,ucretsiz,1,vasifli,1,A191,A201,1
hesap yok,18,simdiye odendi,radyo/TV,2051,<100 DM,<1 yil,4,A93,A101,1,A121,33,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,15,simdiye odendi,araba(eski),1300,bilinmiyor,>=7 yil,4,A93,A101,4,A124,45,A141,ucretsiz,1,vasifli,2,A191,A201,0
<0 DM,12,simdiye odendi,ev aleti,741,100-500 DM,issiz,4,A92,A101,3,A122,22,A143,kendi evi,1,vasifli,1,A191,A201,1
>=200 DM,10,simdiye odendi,araba(yeni),1240,100-500 DM,>=7 yil,1,A92,A101,4,A124,48,A143,ucretsiz,1,vasifsiz-yerlesik,2,A191,A201,1
<0 DM,21,simdiye odendi,radyo/TV,3357,>=1000 DM,<1 yil,4,A92,A101,2,A123,29,A141,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,24,bu bankada odendi,araba(eski),3632,<100 DM,1-4 yil,1,A92,A103,4,A123,22,A141,kira,1,vasifli,1,A191,A202,0
hesap yok,18,gecmiste gecikme,mobilya,1808,<100 DM,4-7 yil,4,A92,A101,1,A121,22,A143,kendi evi,1,vasifli,1,A191,A201,1
0-200 DM,48,kredi yok/hepsi odendi,is,12204,bilinmiyor,1-4 yil,2,A93,A101,2,A123,48,A141,kendi evi,1,yonetici/uzman,1,A192,A201,0
0-200 DM,60,gecmiste gecikme,radyo/TV,9157,bilinmiyor,1-4 yil,2,A93,A101,2,A124,27,A143,ucretsiz,1,yonetici/uzman,1,A191,A201,0
<0 DM,6,kritik hesap,araba(yeni),3676,<100 DM,1-4 yil,1,A93,A101,3,A121,37,A143,kira,3,vasifli,2,A191,A201,0
0-200 DM,30,simdiye odendi,mobilya,3441,100-500 DM,1-4 yil,2,A92,A102,4,A123,21,A143,kira,1,vasifli,1,A191,A201,1
hesap yok,12,simdiye odendi,araba(yeni),640,<100 DM,1-4 yil,4,A91,A101,2,A121,49,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,21,kritik hesap,is,3652,<100 DM,4-7 yil,2,A93,A101,3,A122,27,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,18,kritik hesap,araba(yeni),1530,<100 DM,1-4 yil,3,A93,A101,2,A122,32,A141,kendi evi,2,vasifli,1,A191,A201,1
hesap yok,48,simdiye odendi,is,3914,bilinmiyor,1-4 yil,4,A91,A101,2,A121,38,A141,kendi evi,1,vasifli,1,A191,A201,1
<0 DM,12,simdiye odendi,mobilya,1858,<100 DM,<1 yil,4,A92,A101,1,A123,22,A143,kira,1,vasifli,1,A191,A201,0
<0 DM,18,simdiye odendi,radyo/TV,2600,<100 DM,1-4 yil,4,A93,A101,4,A124,65,A143,ucretsiz,2,vasifli,1,A191,A201,1
hesap yok,15,simdiye odendi,radyo/TV,1979,bilinmiyor,>=7 yil,4,A93,A101,2,A123,35,A143,kendi evi,1,vasifli,1,A191,A201,0
>=200 DM,6,simdiye odendi,mobilya,2116,<100 DM,1-4 yil,2,A93,A101,2,A121,41,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,9,bu bankada odendi,araba(yeni),1437,100-500 DM,4-7 yil,2,A93,A101,3,A124,29,A143,kendi evi,1,vasifli,1,A191,A201,1
hesap yok,42,kritik hesap,mobilya,4042,500-1000 DM,1-4 yil,4,A93,A101,4,A121,36,A143,kendi evi,2,vasifli,1,A192,A201,0
hesap yok,9,simdiye odendi,egitim,3832,bilinmiyor,>=7 yil,1,A93,A101,4,A121,64,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
<0 DM,24,simdiye odendi,radyo/TV,3660,<100 DM,1-4 yil,2,A92,A101,4,A123,28,A143,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,18,bu bankada odendi,mobilya,1553,<100 DM,1-4 yil,4,A93,A101,3,A123,44,A141,kendi evi,1,vasifli,1,A191,A201,1
0-200 DM,15,simdiye odendi,radyo/TV,1444,bilinmiyor,<1 yil,4,A93,A101,1,A122,23,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,9,simdiye odendi,mobilya,1980,<100 DM,<1 yil,2,A92,A102,2,A123,19,A143,kira,2,vasifli,1,A191,A201,1
0-200 DM,24,simdiye odendi,araba(yeni),1355,<100 DM,<1 yil,3,A92,A101,4,A123,25,A143,kendi evi,1,vasifsiz-yerlesik,1,A192,A201,1
hesap yok,12,simdiye odendi,egitim,1393,<100 DM,>=7 yil,4,A93,A101,4,A122,47,A141,kendi evi,3,vasifli,2,A192,A201,0
hesap yok,24,simdiye odendi,radyo/TV,1376,500-1000 DM,4-7 yil,4,A92,A101,1,A123,28,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,60,gecmiste gecikme,radyo/TV,15653,<100 DM,4-7 yil,2,A93,A101,4,A123,21,A143,kendi evi,2,vasifli,1,A192,A201,0
hesap yok,12,simdiye odendi,radyo/TV,1493,<100 DM,<1 yil,4,A92,A101,3,A123,34,A143,kendi evi,1,vasifli,2,A191,A201,0
<0 DM,42,gecmiste gecikme,radyo/TV,4370,<100 DM,4-7 yil,3,A93,A101,2,A122,26,A141,kendi evi,2,vasifli,2,A192,A201,1
<0 DM,18,simdiye odendi,egitim,750,<100 DM,issiz,4,A92,A101,1,A121,27,A143,kendi evi,1,issiz/vasifsiz,1,A191,A201,1
0-200 DM,15,simdiye odendi,tamirat,1308,<100 DM,>=7 yil,4,A93,A101,4,A123,38,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,15,simdiye odendi,egitim,4623,100-500 DM,1-4 yil,3,A93,A101,2,A122,40,A143,kendi evi,1,yonetici/uzman,1,A192,A201,1
hesap yok,24,kritik hesap,radyo/TV,1851,<100 DM,4-7 yil,4,A94,A103,2,A123,33,A143,kendi evi,2,vasifli,1,A192,A201,0
<0 DM,18,kritik hesap,radyo/TV,1880,<100 DM,4-7 yil,4,A94,A101,1,A122,32,A143,kendi evi,2,yonetici/uzman,1,A192,A201,0
hesap yok,36,gecmiste gecikme,is,7980,bilinmiyor,<1 yil,4,A93,A101,4,A123,27,A143,kira,2,vasifli,1,A192,A201,1
<0 DM,30,kredi yok/hepsi odendi,mobilya,4583,<100 DM,1-4 yil,2,A91,A103,2,A121,32,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,12,simdiye odendi,araba(yeni),1386,500-1000 DM,1-4 yil,2,A92,A101,2,A122,26,A143,kendi evi,1,vasifli,1,A191,A201,1
>=200 DM,24,simdiye odendi,araba(yeni),947,<100 DM,4-7 yil,4,A93,A101,3,A124,38,A141,ucretsiz,1,vasifli,2,A191,A201,1
<0 DM,12,simdiye odendi,egitim,684,<100 DM,1-4 yil,4,A93,A101,4,A123,40,A143,kira,1,vasifsiz-yerlesik,2,A191,A201,1
<0 DM,48,simdiye odendi,egitim,7476,<100 DM,4-7 yil,4,A93,A101,1,A124,50,A143,ucretsiz,1,yonetici/uzman,1,A192,A201,0
0-200 DM,12,simdiye odendi,mobilya,1922,<100 DM,1-4 yil,4,A93,A101,2,A122,37,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,1
<0 DM,24,simdiye odendi,araba(yeni),2303,<100 DM,>=7 yil,4,A93,A102,1,A121,45,A143,kendi evi,1,vasifli,1,A191,A201,1
0-200 DM,36,gecmiste gecikme,araba(yeni),8086,100-500 DM,>=7 yil,2,A93,A101,4,A123,42,A143,kendi evi,4,yonetici/uzman,1,A192,A201,1
hesap yok,24,kritik hesap,araba(eski),2346,<100 DM,4-7 yil,4,A93,A101,3,A123,35,A143,kendi evi,2,vasifli,1,A192,A201,0
<0 DM,14,simdiye odendi,araba(yeni),3973,<100 DM,issiz,1,A93,A101,4,A124,22,A143,ucretsiz,1,vasifli,1,A191,A201,0
0-200 DM,12,simdiye odendi,araba(yeni),888,<100 DM,>=7 yil,4,A93,A101,4,A123,41,A141,kendi evi,1,vasifsiz-yerlesik,2,A191,A201,1
hesap yok,48,simdiye odendi,radyo/TV,10222,bilinmiyor,4-7 yil,4,A93,A101,3,A123,37,A142,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,30,kredi yok/hepsi odendi,is,4221,<100 DM,1-4 yil,2,A92,A101,1,A123,28,A143,kendi evi,2,vasifli,1,A191,A201,0
0-200 DM,18,kritik hesap,mobilya,6361,<100 DM,>=7 yil,2,A93,A101,1,A124,41,A143,kendi evi,1,vasifli,1,A192,A201,0
>=200 DM,12,simdiye odendi,radyo/TV,1297,<100 DM,1-4 yil,3,A94,A101,4,A121,23,A143,kira,1,vasifli,1,A191,A201,0
<0 DM,12,simdiye odendi,araba(yeni),900,bilinmiyor,1-4 yil,4,A94,A101,2,A123,23,A143,kendi evi,1,vasifli,1,A191,A201,1
hesap yok,21,simdiye odendi,mobilya,2241,<100 DM,>=7 yil,4,A93,A101,2,A121,50,A143,kendi evi,2,vasifli,1,A191,A201,0
0-200 DM,6,gecmiste gecikme,mobilya,1050,<100 DM,issiz,4,A93,A101,1,A122,35,A142,kendi evi,2,yonetici/uzman,1,A192,A201,0
>=200 DM,6,kritik hesap,egitim,1047,<100 DM,1-4 yil,2,A92,A101,4,A122,50,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,24,kritik hesap,diger,6314,<100 DM,issiz,4,A93,A102,2,A124,27,A141,kendi evi,2,yonetici/uzman,1,A192,A201,0
0-200 DM,30,bu bankada odendi,mobilya,3496,>=1000 DM,1-4 yil,4,A93,A101,2,A123,34,A142,kendi evi,1,vasifli,2,A192,A201,0
hesap yok,48,bu bankada odendi,is,3609,<100 DM,1-4 yil,1,A92,A101,1,A121,27,A142,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,12,kritik hesap,araba(yeni),4843,<100 DM,>=7 yil,3,A93,A102,4,A122,43,A143,kira,2,vasifli,1,A192,A201,1
>=200 DM,30,kritik hesap,radyo/TV,3017,<100 DM,>=7 yil,4,A93,A101,4,A122,47,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,24,kritik hesap,is,4139,100-500 DM,1-4 yil,3,A93,A101,3,A122,27,A143,kendi evi,2,vasifsiz-yerlesik,1,A192,A201,0
hesap yok,36,simdiye odendi,is,5742,100-500 DM,4-7 yil,2,A93,A101,2,A123,31,A143,kendi evi,2,vasifli,1,A192,A201,0
hesap yok,60,simdiye odendi,araba(yeni),10366,<100 DM,>=7 yil,2,A93,A101,4,A122,42,A143,kendi evi,1,yonetici/uzman,1,A192,A201,0
hesap yok,6,kritik hesap,araba(yeni),2080,500-1000 DM,1-4 yil,1,A94,A101,2,A123,24,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,21,gecmiste gecikme,is,2580,500-1000 DM,<1 yil,4,A93,A101,2,A121,41,A141,kendi evi,1,vasifsiz-yerlesik,2,A191,A201,1
hesap yok,30,kritik hesap,radyo/TV,4530,<100 DM,4-7 yil,4,A92,A101,4,A123,26,A143,kira,1,yonetici/uzman,1,A192,A201,0
hesap yok,24,kritik hesap,mobilya,5150,<100 DM,>=7 yil,4,A93,A101,4,A123,33,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,72,simdiye odendi,radyo/TV,5595,100-500 DM,1-4 yil,2,A94,A101,2,A123,24,A143,kendi evi,1,vasifli,1,A191,A201,1
<0 DM,24,simdiye odendi,radyo/TV,2384,<100 DM,>=7 yil,4,A93,A101,4,A121,64,A141,kira,1,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,18,simdiye odendi,radyo/TV,1453,<100 DM,<1 yil,3,A92,A101,1,A121,26,A143,kendi evi,1,vasifli,1,A191,A201,0
